城市,区域,公司全名,公司简称,公司规模,融资阶段,职位名称,工资,工作经验,学历要求,职位福利,行业,发布时间
北京,朝阳区,北京盈衍网络科技有限公司,黄金钱包,50-150人,C轮,数据分析师,15k-25k,3-5年,本科,全明星投资，互联网黄金，发展空间大,"移动互联网,金融",2019/8/12 9:49
北京,朝阳区,北京三快在线科技有限公司,美团点评,2000人以上,上市公司,数据分析（业务策略）,12k-20k,3-5年,本科,平台大,消费生活,2019/8/11 23:40
北京,朝阳区,北京源梦伟业网络科技有限公司,源梦伟业,50-150人,未融资,数据分析师,15k-30k,3-5年,本科,扁平化管理，团队nice,"移动互联网,数据服务",2019/8/14 15:46
北京,朝阳区,发现时空（北京）信息技术有限公司,发现旅行,50-150人,B轮,数据分析（业务策略）,20k-40k,3-5年,本科,旅游基金 公司发展快 扁平化管理,旅游,2019/8/14 15:24
北京,朝阳区,同程网络科技股份有限公司,同程艺龙,2000人以上,上市公司,数据分析（北京地区）,20k-40k,3-5年,本科,"优秀团队,大平台,激励福利,晋升空间",旅游,2019/8/12 11:19
北京,朝阳区,北京健康之家科技有限公司,水滴公司,2000人以上,C轮,数据分析师,22k-30k,3-5年,本科,"年底双薪,股票期权,扁平管理,晋升快","移动互联网,医疗丨健康",2019/8/13 11:25
北京,朝阳区,百融云创科技股份有限公司,百融云创,500-2000人,C轮,数据分析师,15k-30k,3-5年,本科,"带薪年假,绩效奖金,补充医疗",金融,2019/8/14 10:04
北京,朝阳区,北京盈衍网络科技有限公司,黄金钱包,50-150人,C轮,数据分析师,10k-15k,1-3年,本科,全明星投资，互联网黄金，发展空间大,"移动互联网,金融",2019/8/12 9:49
北京,朝阳区,北京易观智库网络科技有限公司,易观,150-500人,B轮,数据分析师,20k-35k,5-10年,不限,互联网大数据领先品牌 六险一金 弹性工作,"移动互联网,数据服务",2019/8/14 19:25
北京,朝阳区,小小黛朵（北京）科技有限公司,花生米富,150-500人,B轮,数据分析师,14k-25k,1-3年,本科,福利待遇好、团队气氛好、上升空间大,"移动互联网,金融",2019/8/14 16:34
北京,朝阳区,上海唯都市场营销策划股份有限公司,上海唯都,150-500人,未融资,数据分析师,8k-10k,1-3年,本科,汽车行业 精准营销咨询 CRM专业团队,广告营销,2019/8/12 21:10
北京,朝阳区,北京弘合柏基金融信息服务有限责任公司,有利网,2000人以上,不需要融资,数据分析师,15k-25k,1-3年,本科,公司规模大 五险一金 发展空间大,金融,2019/8/12 17:32
北京,朝阳区,北京思维造物信息科技有限公司,罗辑思维,150-500人,D轮及以上,数据分析师,30k-50k,5-10年,本科,六险一金 年度体检 企业医生 弹性工作,"移动互联网,文娱丨内容",2019/8/14 10:57
北京,朝阳区,思凯思特（北京）科技有限公司,PINTEC,150-500人,上市公司,数据分析师,15k-25k,1-3年,本科,"六险一金,带薪假期,工作居住证,外资团队","移动互联网,金融",2019/8/13 15:08
